
Step(*): 0, t: 0.015625, dt: 0, highest active timebin: 0  (lowest active: 0, highest occupied: 0)
Step(*): 224, t: 0.0388081, dt: 0.000157296, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 225, t: 0.038966, dt: 0.000157936, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 226, t: 0.0391246, dt: 0.000158579, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 227, t: 0.0392838, dt: 0.000159224, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 228, t: 0.0394437, dt: 0.000159872, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 229, t: 0.0396042, dt: 0.000160523, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 230, t: 0.0397654, dt: 0.000161176, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 231, t: 0.0399272, dt: 0.000161832, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 232, t: 0.0400897, dt: 0.00016249, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 233, t: 0.0402528, dt: 0.000163152, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 234, t: 0.0404167, dt: 0.000163816, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 235, t: 0.0405811, dt: 0.000164482, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

